,OA11CD,locationCount,lng,lat
0,E00000778,1,-0.15309776093928382,51.61353175239727
1,E00002822,115,-0.21744054695377987,51.52902708041863
2,E00174683,3,-0.29448058871948035,51.554623843361604
3,E00004664,11,-0.11799071040978694,51.52856727705533
4,E00004666,23,-0.12811029105988408,51.52775177682784
5,E00004179,18,-0.12333428112365913,51.52448185017797
6,E00004527,157,-0.12085435584156076,51.51534559167671
7,E00004665,1,-0.12380296616168537,51.528296028608544
8,E00174664,18,-0.12437531567573125,51.52319919047607
9,E00174665,2,-0.12234528932477454,51.52567039739077
10,E00004670,2,-0.12154786767018093,51.527895166133796
11,E00004724,7,-0.13152514679791724,51.52901019443072
12,E00004674,5,-0.12407311528516271,51.5272553565799
13,E00004677,1,-0.1189131156980473,51.52731168836342
14,E00004671,6,-0.11616644683222614,51.52679778683674
15,E00174655,108,-0.12714971912985404,51.52364251437476
16,E00174654,5,-0.14072114738657654,51.52681946030541
17,E00004197,74,-0.1302040182524765,51.51828834030284
18,E00004558,9,-0.12350903962894749,51.51819422830861
19,E00004559,22,-0.1251384761652697,51.51818002385565
20,E00004734,3,-0.12630422986850065,51.53596253623231
21,E00004701,37,-0.14278223861233194,51.52485236066459
22,E00004189,18,-0.13701022967213947,51.52254747818947
23,E00004195,33,-0.13087996117534367,51.52002040738523
24,E00004200,5,-0.1374042413959287,51.51986672585859
25,E00004175,4,-0.12416459430107325,51.525688556084766
26,E00004174,147,-0.1349593011646928,51.5246771353291
27,E00004177,25,-0.12950292068969474,51.52502174214818
28,E00004172,97,-0.13258577111309294,51.517964569837524
29,E00004529,99,-0.1262795051294722,51.514122620378544
30,E00004672,7,-0.1247651782934765,51.52766916066173
31,E00004691,4,-0.1426252181507157,51.52773111104614
32,E00004693,24,-0.14388267871182822,51.52685489088078
33,E00004699,61,-0.1392164531228749,51.5257350849581
34,E00004524,336,-0.11539006826719357,51.51757123181095
35,E00004526,23,-0.12504923504531557,51.515355277205764
36,E00004523,185,-0.1273425027242411,51.51455504986633
37,E00004687,2,-0.1483033969610535,51.53202804826881
38,E00004531,17,-0.11402629666232411,51.5240016729347
39,E00174671,5,-0.11469767773909684,51.5231077701345
40,E00004545,1,-0.11156519711675136,51.52107593172248
41,E00004544,23,-0.11979146706545042,51.522329788178716
42,E00004546,58,-0.11808997475125596,51.51851443780529
43,E00004541,7,-0.11298935713050044,51.522093129414415
44,E00004187,40,-0.1406293437433543,51.52355903798971
45,E00004540,4,-0.11814686754738445,51.52309058920999
46,E00004543,18,-0.11847252926030907,51.52187947219234
47,E00004537,3,-0.11836381277168088,51.52265692438098
48,E00004535,41,-0.12243928655008979,51.52191077485956
49,E00174674,12,-0.11414826820895993,51.52192031345236
50,E00004646,5,-0.12300097574275762,51.52810984431572
51,E00004492,1,-0.1636912867987207,51.56882955517072
52,E00004225,4,-0.14339343178356037,51.54026987496898
53,E00004662,9,-0.1249658679879191,51.52892951039567
54,E00174659,444,-0.12800976402972378,51.520927604102226
55,E00004689,1,-0.14112263000072742,51.528206967787085
56,E00004681,99,-0.14633104952828935,51.52666262785313
57,E00174660,14,-0.11449024591747989,51.52610431997697
58,E00174661,9,-0.11570886746530863,51.52526423772908
59,E00174663,2,-0.12321799515099088,51.52303810541096
60,E00004542,17,-0.1100486663192782,51.52154074158043
61,E00004547,114,-0.10782001235291497,51.5193658176917
62,E00004697,13,-0.13918462603298992,51.52753126745427
63,E00004695,10,-0.13712355365457043,51.52697515765966
64,E00174650,14,-0.13820592460316,51.521408460285045
65,E00004182,8,-0.12644410988068483,51.52508277457789
