,geometry,locationCount,locationID,lng,lat
0,POINT (-0.10764048 51.52873915172),1,8057457.0,-0.10764048,51.52873915172
1,POINT (-0.12616008173597 51.528634145464),1,228357613.0,-0.12616008173597,51.528634145464
2,POINT (-0.1536313119604 51.520704607159),1,374766030.0,-0.1536313119604,51.520704607159
3,POINT (-0.17420751 51.52767352),1,934592479.0,-0.17420751,51.52767352
4,POINT (-0.08711439999999999 51.5233125),1,252296618.0,-0.0871144,51.5233125
5,POINT (-0.123551 51.523905),1,225950503.0,-0.123551,51.523905
6,POINT (-0.13938535811067 51.523040427875),1,230228866.0,-0.13938535811067,51.523040427875
7,POINT (-0.1436 51.5227),1,227658261.0,-0.1436,51.5227
8,POINT (-0.21459817886353 51.52555349328),1,103718083415794.0,-0.21459817886353,51.52555349328
9,POINT (-0.076797 51.519432),1,222214464793424.0,-0.076797,51.519432
10,POINT (-0.1076191 51.5213159),1,445725334.0,-0.1076191,51.5213159
11,POINT (-0.15461070284037 51.520094808183),1,229115355.0,-0.15461070284037,51.520094808183
12,POINT (-0.16748394 51.518065043333),1,244375387.0,-0.16748394,51.518065043333
13,POINT (-0.0841746 51.5137738),1,513585968.0,-0.0841746,51.5137738
14,POINT (-0.12364911111111 51.510040222222),1,461714151.0,-0.12364911111111,51.510040222222
15,POINT (-0.12260506780485 51.511750155905),1,221564930.0,-0.12260506780485,51.511750155905
16,POINT (-0.11920120859388 51.517265377309),1,264095328.0,-0.11920120859388,51.517265377309
17,POINT (-0.12523703129817 51.512081784897),1,2696675.0,-0.12523703129817,51.512081784897
18,POINT (-0.12613810123995 51.516042352595),1,1020736974.0,-0.12613810123995,51.516042352595
19,POINT (-0.15093561261906 51.515449178453),1,1030464798.0,-0.15093561261906,51.515449178453
20,POINT (-0.1768835 51.5158186),1,254174018.0,-0.1768835,51.5158186
21,POINT (-0.1393787 51.5124854),1,476298764.0,-0.1393787,51.5124854
22,POINT (-0.087777777777778 51.508055555556),1,309683826.0,-0.087777777777778,51.508055555556
23,POINT (-0.1527493505791 51.507201939746),1,859792933.0,-0.1527493505791,51.507201939746
24,POINT (-0.2043 51.5096),1,1017382496.0,-0.2043,51.5096
25,POINT (-0.11075913494557 51.504766859794),1,268540736572321.0,-0.11075913494557,51.504766859794
26,POINT (-0.1879478 51.5022335),1,988415809.0,-0.1879478,51.5022335
27,POINT (-0.08241 51.50015),1,325335168.0,-0.08241,51.50015
28,POINT (-0.10584948692861 51.501637748043),1,1029324383.0,-0.10584948692861,51.501637748043
29,POINT (-0.14352553726176 51.498236976765),1,219425.0,-0.14352553726176,51.498236976765
30,POINT (-0.19257596426021 51.499394148647),2,247646737.0,-0.19257596426021,51.499394148647
31,POINT (-0.16399958007385 51.497537333375),1,33694831.0,-0.16399958007385,51.497537333375
32,POINT (-0.18562161536091 51.49677377054),1,274024187.0,-0.18562161536091,51.49677377054
33,POINT (-0.1897371 51.4945352),1,269801114.0,-0.1897371,51.4945352
34,POINT (-0.13320847061216 51.491719808827),1,323687449.0,-0.13320847061216,51.491719808827
35,POINT (-0.1386281 51.4907451),1,255050862.0,-0.1386281,51.4907451
36,POINT (-0.19584722222222 51.490616666667),1,700568488.0,-0.19584722222222,51.490616666667
37,POINT (-0.143870888851 51.4861120001),1,228908040.0,-0.143870888851,51.4861120001
38,POINT (-0.2034423 51.4868922),1,1069200623139112.0,-0.2034423,51.4868922
39,POINT (-0.08080270000000001 51.5268724),1,948798518576059.0,-0.0808027,51.5268724
40,POINT (-0.140783 51.525895),1,111204879326865.0,-0.140783,51.525895
41,POINT (-0.086967850247123 51.522007479073),1,906389996.0,-0.086967850247123,51.522007479073
42,POINT (-0.10134943266667 51.523261698942),1,3950308.0,-0.10134943266667,51.523261698942
43,POINT (-0.1389 51.5215),1,638831812.0,-0.1389,51.5215
44,POINT (-0.14690128333333 51.523623283333),1,679877510.0,-0.14690128333333,51.523623283333
45,POINT (-0.09077010000000001 51.5209963),1,675401462.0,-0.0907701,51.5209963
46,POINT (-0.10342222222222 51.518686111111),1,836690536.0,-0.10342222222222,51.518686111111
47,POINT (-0.1058557 51.5197104),1,123734210.0,-0.1058557,51.5197104
48,POINT (-0.10997459034033 51.518068601369),1,239443767.0,-0.10997459034033,51.518068601369
49,POINT (-0.14585344540441 51.515972457957),1,255542068.0,-0.14585344540441,51.515972457957
50,POINT (-0.1675986 51.5184134),1,101682093227456.0,-0.1675986,51.5184134
51,POINT (-0.18037001 51.51835477),1,369483134.0,-0.18037001,51.51835477
52,POINT (-0.097369394432384 51.515025105594),1,228014194.0,-0.097369394432384,51.515025105594
53,POINT (-0.10087991119435 51.51373190399),1,103264476.0,-0.10087991119435,51.51373190399
54,POINT (-0.11201401212056 51.514502806877),2,296059848.0,-0.11201401212056,51.514502806877
55,POINT (-0.123828457445 51.510080206307),1,379573378.0,-0.123828457445,51.510080206307
56,POINT (-0.12940672461702 51.513953609857),1,253861863.0,-0.12940672461702,51.513953609857
57,POINT (-0.13053434059599 51.516778899973),1,342234059.0,-0.13053434059599,51.516778899973
58,POINT (-0.13106130752855 51.517256279046),1,1072151.0,-0.13106130752855,51.517256279046
59,POINT (-0.15732863123746 51.513712992147),2,256741273.0,-0.15732863123746,51.513712992147
60,POINT (-0.19767 51.51471),1,452285268.0,-0.19767,51.51471
61,POINT (-0.12000920482759 51.510203616207),3,807040300.0,-0.12000920482759,51.510203616207
62,POINT (-0.13934 51.512661),2,853561276.0,-0.13934,51.512661
63,POINT (-0.19329096657453 51.509643857579),1,257020641.0,-0.19329096657453,51.509643857579
64,POINT (-0.18644571304321 51.512455039912),1,767098028.0,-0.18644571304321,51.512455039912
65,POINT (-0.087323 51.506816),1,1065971103484782.0,-0.087323,51.506816
66,POINT (-0.11768458783054 51.505786671818),1,2778031.0,-0.11768458783054,51.505786671818
67,POINT (-0.141345145 51.5076388775),1,1030605440.0,-0.141345145,51.5076388775
68,POINT (-0.1943428 51.5096025),1,241981171.0,-0.1943428,51.5096025
69,POINT (-0.1092841 51.5043755),1,117469.0,-0.1092841,51.5043755
