,OA11CD,locationCount
353,E00013458,13
354,E00013569,31
355,E00013561,1
356,E00013560,5
357,E00013746,1
358,E00013426,24
359,E00174772,357
360,E00013556,2
361,E00013547,11
362,E00013546,59
363,E00013544,6
364,E00013428,147
365,E00013429,5
366,E00174778,14
367,E00013455,14
368,E00013454,17
369,E00013452,1
370,E00013578,45
371,E00013579,2
372,E00013570,8
373,E00013572,197
374,E00013573,1
375,E00013564,1
376,E00013565,1
377,E00013567,2
378,E00013566,3
379,E00013562,9
380,E00013440,19
381,E00013443,25
382,E00013442,4
383,E00013785,1
384,E00013559,5
385,E00013558,3
386,E00013549,132
387,E00174781,4
388,E00174783,46
389,E00014455,2
390,E00014454,3
391,E00014560,17
392,E00014273,6
393,E00014275,15
394,E00014277,1
395,E00014270,3
396,E00014271,1
397,E00014659,58
398,E00014658,17
399,E00014302,1
400,E00014121,3
401,E00014120,1
402,E00014123,2
403,E00014122,62
404,E00014128,4
405,E00014173,8
406,E00014175,6
407,E00014172,225
408,E00014176,2
409,E00014171,1
410,E00014301,15
411,E00014300,14
412,E00014383,132
413,E00014384,453
414,E00014662,4
415,E00014588,52
416,E00014589,1
417,E00014665,114
418,E00014664,36
419,E00014667,2
420,E00014661,51
421,E00014660,130
422,E00014561,1
423,E00014506,277
424,E00014586,197
425,E00014587,2
426,E00014507,6
427,E00014585,3
428,E00014579,1
429,E00014578,1
430,E00014152,3
431,E00014354,13
432,E00014356,29
433,E00014352,42
434,E00014353,12
435,E00014341,10
436,E00014348,24
437,E00014345,1
438,E00014342,6
439,E00014347,29
440,E00014280,17
441,E00014201,5
442,E00014471,2
443,E00014473,223
444,E00014470,1
445,E00014474,7
446,E00014475,1142
447,E00014104,16
448,E00014184,3
449,E00014107,13
450,E00014186,2
451,E00014187,3
452,E00014105,27
453,E00014102,67
454,E00014463,2
455,E00014465,13
456,E00014466,1
457,E00014460,5
458,E00014461,3
459,E00014269,5
460,E00014200,3
461,E00014283,2
462,E00014284,23
463,E00014642,1
464,E00014645,9
465,E00014415,13
466,E00014496,1
467,E00014492,7
468,E00014413,4
469,E00014315,26
470,E00014394,2
471,E00014395,1
472,E00014314,63
473,E00014396,2
474,E00014316,2
475,E00014312,5
476,E00014393,1
477,E00014517,14
478,E00014596,30
479,E00014516,39
480,E00014597,182
481,E00014514,11
482,E00014595,439
483,E00014295,2
484,E00014217,3
485,E00014294,3
486,E00014095,26
487,E00014094,812
488,E00014097,59
489,E00014096,10
490,E00014093,88
491,E00014404,6
492,E00014484,291
493,E00014485,3
494,E00014406,1
495,E00014486,6
496,E00014483,127
497,E00014368,15
498,E00014361,34
499,E00014654,1
500,E00014656,1
501,E00014652,12
502,E00014550,10
503,E00014552,2
504,E00014557,1
505,E00014556,73
506,E00014551,7
507,E00014539,13
508,E00014531,3
509,E00014538,3
510,E00014533,26
511,E00014195,3
512,E00014196,4
513,E00014117,7
514,E00014116,6
515,E00014194,1
516,E00014523,10
517,E00014520,26
518,E00014525,25
519,E00014522,7
520,E00014155,117
521,E00014157,12
522,E00014154,4
523,E00014153,2
524,E00014150,1
525,E00014056,2
526,E00014054,13
527,E00014644,1
528,E00014564,2
529,E00014566,10
530,E00014563,1
531,E00014562,6
532,E00014497,8
533,E00014446,5
534,E00014447,12
535,E00014140,17
536,E00014141,4
537,E00014142,4
538,E00014143,3
539,E00014145,93
540,E00014147,1
541,E00014144,145
542,E00014611,180
543,E00014079,48
544,E00014078,77
545,E00014070,14
546,E00014071,4
547,E00014072,1
548,E00014073,5
549,E00014546,14
550,E00014547,1
551,E00014544,1
552,E00175100,2
553,E00014166,11
554,E00014167,1704
555,E00014339,1
556,E00014331,1
557,E00014421,5
558,E00014131,3
559,E00014133,4
560,E00014108,15
561,E00014189,5
562,E00014087,13
563,E00014086,264
564,E00014127,37
565,E00014126,1
566,E00014124,1
567,E00014379,11
568,E00014488,17
569,E00014304,1
570,E00014307,1611
571,E00014386,12
572,E00014385,24
573,E00014558,1
574,E00014537,10
575,E00014534,11
576,E00014536,6
577,E00014156,9
578,E00014062,11
579,E00014065,9
580,E00014064,2
581,E00014066,14
582,E00014231,4
583,E00014230,54
584,E00014048,5
585,E00014049,2
586,E00014232,10
587,E00014235,12
588,E00014234,3
589,E00014047,6
590,E00014237,2
591,E00014236,1
592,E00014044,1
593,E00014239,13
594,E00014238,27
595,E00014671,5
596,E00014670,1
597,E00014199,2
598,E00014198,12
599,E00014118,531
600,E00014600,3
601,E00014603,35
602,E00014605,5
603,E00014601,3
604,E00014138,89
605,E00014139,8
606,E00014571,1
607,E00014570,1
608,E00014572,14
609,E00014228,4
610,E00014575,4
611,E00014229,1
612,E00014598,4
613,E00014519,318
614,E00014518,9
615,E00014526,3
616,E00014219,31
617,E00014218,41
618,E00014298,9
619,E00014299,47
620,E00014524,5
621,E00014527,15
622,E00014328,616
623,E00014329,5
624,E00014321,11
625,E00014322,3
626,E00014323,8
627,E00175087,5
628,E00014431,2
629,E00014430,7
630,E00014433,2
631,E00014432,5
632,E00014435,1
633,E00014548,8
634,E00175089,1
635,E00175088,2
636,E00014262,2
637,E00014264,2
638,E00014265,2
639,E00014266,4
640,E00014267,3
641,E00014260,2
642,E00014646,15
643,E00014647,10
644,E00014286,12
645,E00014207,1
646,E00014285,15
647,E00014063,2
648,E00014068,3
649,E00014364,2
650,E00014367,24
651,E00014059,4
652,E00014366,3
653,E00014058,4
654,E00014362,5
655,E00014648,33
656,E00014649,4
657,E00014061,6
658,E00014089,1065
659,E00014080,1
660,E00014088,36
661,E00014240,9
662,E00014244,1
663,E00014242,1
664,E00014535,10
665,E00014621,3
666,E00175098,1
667,E00175094,1
668,E00175096,41
669,E00175095,36
670,E00014422,4
671,E00014420,1
672,E00014638,76
673,E00014639,183
674,E00014279,1
675,E00014179,1
676,E00014178,2
677,E00014309,87
678,E00014308,6
679,E00014636,7
680,E00014169,13
681,E00014637,11
682,E00014168,17
683,E00014614,3
684,E00014074,1
685,E00014077,26
686,E00014668,1
687,E00014669,36
688,E00014609,60
689,E00014318,7
690,E00014222,57
691,E00014390,133
692,E00014225,36
693,E00014224,29
694,E00014391,21
695,E00014310,1
696,E00014221,2
697,E00014398,11
698,E00014220,175
699,E00014582,10
700,E00014581,19
701,E00014583,226
702,E00014502,4
703,E00014584,193
704,E00014501,42
705,E00014508,10
706,E00014358,11
707,E00014359,6
708,E00014351,2
709,E00014336,3
710,E00014335,2
711,E00014651,1
712,E00014650,30
713,E00014653,81
714,E00014129,1
715,E00014252,2
716,E00014250,16
717,E00014255,1
718,E00014256,8
719,E00014257,2
720,E00014180,80
721,E00014181,2
722,E00014101,1201
723,E00014182,1
724,E00014100,14
725,E00014183,1
726,E00014103,23
727,E00014469,9
728,E00014209,5
729,E00014401,9
730,E00014489,16
731,E00014400,3
732,E00014403,1
733,E00014402,57
734,E00014482,3
735,E00014409,6
736,E00014134,1
737,E00014419,6
738,E00014137,5
739,E00014411,4
740,E00014136,109
741,E00014410,15
742,E00014491,3
743,E00014498,1
744,E00014135,137
745,E00014577,7
746,E00014327,14
747,E00014324,25
748,E00014370,5
749,E00014377,8
750,E00014374,1
751,E00014376,1
752,E00014371,10
753,E00014046,29
754,E00014592,27
755,E00014512,4
756,E00014593,14
757,E00014594,3
758,E00014590,12
759,E00014511,1
760,E00014191,15
761,E00014193,96
762,E00014190,68
763,E00014111,12
764,E00014528,9
765,E00014607,26
766,E00014050,5
767,E00014055,5
768,E00014591,22
769,E00014510,2
770,E00014210,9
771,E00014290,1
772,E00014213,13
773,E00014291,93
774,E00014212,19
775,E00014292,44
776,E00014215,1
777,E00014211,9
778,E00014098,2
779,E00014099,6
780,E00014090,33
781,E00014091,2
782,E00014437,8
783,E00014434,8
784,E00014541,1
785,E00014543,2
786,E00014540,3
787,E00175101,4
788,E00014161,1
789,E00014160,969
790,E00014165,1
791,E00014164,1
792,E00014429,2
793,E00014441,187
794,E00014440,17
795,E00014442,3
796,E00014445,1
797,E00014109,4
798,E00014083,23
799,E00014084,230
800,E00014085,22
801,E00014081,3
802,E00175092,15
803,E00175093,86
804,E00175090,45
805,E00014622,3
806,E00014625,31
807,E00014426,13
808,E00014427,4
809,E00014633,1
810,E00015195,4
811,E00015704,38
812,E00015706,9
813,E00015201,15
814,E00171529,30
815,E00015650,12
816,E00015768,3
817,E00015178,5
818,E00015168,25
819,E00015508,1
820,E00171549,100
821,E00171548,36
822,E00015176,12
823,E00015175,41
824,E00016089,4
825,E00015187,8
826,E00016074,1
827,E00016077,1
828,E00015683,70
829,E00015684,2
830,E00015682,2
831,E00015166,677
832,E00015167,4
833,E00015622,56
834,E00015625,59
835,E00015627,53
836,E00015624,12
837,E00015623,236
838,E00015678,190
839,E00015673,1
840,E00015670,1
841,E00015672,28
842,E00015675,8
843,E00015695,5
844,E00015696,1
845,E00015693,2
846,E00015199,1
847,E00016084,1
848,E00015189,4
849,E00015633,14
850,E00015690,4
851,E00015792,5
852,E00016071,23
853,E00016072,6
854,E00015701,3
855,E00015184,27
856,E00015183,4
857,E00015638,24
858,E00015631,11
859,E00015686,7
860,E00015202,13
861,E00015181,13
862,E00015676,2
863,E00015674,9
864,E00171540,6
865,E00171543,1
866,E00171542,1
867,E00171545,104
868,E00171544,80
869,E00015687,392
870,E00015252,3
871,E00171539,42
872,E00171538,1
873,E00015192,1
874,E00016079,1
875,E00016078,5
876,E00016086,1
877,E00015629,1
878,E00015641,7
879,E00015640,6
880,E00015643,2
881,E00015642,2
882,E00015662,2
883,E00015664,3
884,E00015660,10
885,E00015661,14
886,E00015169,3
887,E00015646,1
888,E00015644,1
889,E00015645,2
890,E00015796,1
891,E00016073,3
892,E00016075,7
893,E00015703,7
894,E00015655,4
895,E00015657,2
896,E00015656,1
897,E00015653,2
898,E00015171,106
899,E00015173,11
900,E00015172,45
901,E00015635,11
902,E00015185,2
903,E00015182,2
904,E00015198,1
905,E00015420,1
906,E00015788,8
907,E00015789,7
908,E00015180,1092
909,E00171537,67
910,E00171536,7
911,E00171533,279
912,E00171535,129
913,E00171534,2
914,E00016593,1
915,E00016171,1
916,E00016441,1
917,E00017645,1
918,E00175027,1
919,E00019078,1
920,E00020264,8
921,E00166637,398
922,E00020009,5
923,E00019999,1
924,E00019847,6
925,E00020018,9
926,E00019829,1
927,E00019770,3
928,E00019773,1662
929,E00019774,238
930,E00019777,62
931,E00020204,1
932,E00019806,2
933,E00019933,2
934,E00166640,7
935,E00019735,1
936,E00019736,1
937,E00019732,1
938,E00019811,1
939,E00168029,21
940,E00020119,12
941,E00168013,1
942,E00020015,2
943,E00020014,2
944,E00019968,1
945,E00020036,11
946,E00020034,96
947,E00167496,9
948,E00167497,29
949,E00167490,3
950,E00167491,6
951,E00020024,1
952,E00020027,15
953,E00020115,3
954,E00020039,2
955,E00167481,2
956,E00167480,13
957,E00019797,3
958,E00165809,1
959,E00165808,4
960,E00019959,2
961,E00019796,2
962,E00020005,19
963,E00167763,4
964,E00167760,73
965,E00167766,6
966,E00019983,3
967,E00019984,7
968,E00019981,149
969,E00019780,21
970,E00019781,53
971,E00019782,1
972,E00019783,23
973,E00019761,1
974,E00019760,1
975,E00019763,2
976,E00019762,9
977,E00019756,6
978,E00020137,5
