,OA11CD,locationCount
1492,E00023550,1
1493,E00023664,5
1494,E00023959,21
1495,E00023953,9
1496,E00023957,23
1497,E00023955,28
1498,E00023576,2
1499,E00023577,1
1500,E00024019,2
1501,E00023534,1
1502,E00023535,1
1503,E00023762,14
1504,E00024024,78
1505,E00023836,93
1506,E00023837,7
1507,E00023627,14
1508,E00023624,21
1509,E00023718,1
1510,E00023626,3
1511,E00023710,1
1512,E00023623,2
1513,E00023621,1
1514,E00175212,30
1515,E00023650,1
1516,E00023653,12
1517,E00023657,38
1518,E00023655,5
1519,E00023656,12
1520,E00024113,690
1521,E00024115,68
1522,E00023520,3
1523,E00023529,3
1524,E00023764,4
1525,E00023766,34
1526,E00024010,1
1527,E00024090,1
1528,E00024091,1
1529,E00023819,31
1530,E00023818,52
1531,E00023473,10
1532,E00023470,1
1533,E00023477,460
1534,E00023948,1
1535,E00023941,68
1536,E00023943,42
1537,E00023945,2322
1538,E00023942,56
1539,E00023988,1
1540,E00024130,251
1541,E00023608,2
1542,E00023689,10
1543,E00023601,3
1544,E00023456,2
1545,E00023488,2
1546,E00175253,7
1547,E00175250,1101
1548,E00175252,4
1549,E00023741,1
1550,E00023740,9
1551,E00023744,12
1552,E00023747,1
1553,E00023914,13
1554,E00024107,1
1555,E00023992,4
1556,E00024065,2
1557,E00024067,8
1558,E00023876,22
1559,E00023877,9
1560,E00024031,31
1561,E00024038,18
1562,E00024033,56
1563,E00175239,7
1564,E00175234,3
1565,E00175231,1
1566,E00024105,230
1567,E00023993,2
1568,E00023991,4
1569,E00023910,18
1570,E00023494,69
1571,E00023496,1
1572,E00175219,12
1573,E00024028,3
1574,E00024029,9
1575,E00023838,40
1576,E00023839,384
1577,E00175192,150
1578,E00175191,381
1579,E00175193,165
1580,E00175190,492
1581,E00023468,6
1582,E00023461,4
1583,E00023463,1
1584,E00023462,1
1585,E00023467,1
1586,E00024062,1
1587,E00023648,1
1588,E00023641,7
1589,E00023640,1
1590,E00023643,7
1591,E00023644,8
1592,E00023647,2
1593,E00023649,11
1594,E00023670,39
1595,E00023671,8
1596,E00023675,7
1597,E00023679,2
1598,E00175243,21
1599,E00023758,131
1600,E00023750,1
