,geometry,locationCount,locationID,lng,lat
0,POINT (0.058009377284532 51.648440200456),1,333869376.0,0.058009377284532,51.648440200456
1,POINT (-0.1335069 51.6342061),1,347388302.0,-0.1335069,51.6342061
2,POINT (-0.12638602 51.61260938),1,1017280238.0,-0.12638602,51.61260938
3,POINT (-0.1788616 51.6117308),1,635055322.0,-0.1788616,51.6117308
4,POINT (-0.3587895 51.6050511),1,1013869042.0,-0.3587895,51.6050511
5,POINT (-0.0640997 51.599573),1,311348732.0,-0.0640997,51.599573
6,POINT (-0.1092792 51.5960855),1,247551384.0,-0.1092792,51.5960855
7,POINT (-0.1457756875 51.5877554175),1,1022428248.0,-0.1457756875,51.5877554175
8,POINT (-0.17784118652344 51.591602487736),1,1012632317.0,-0.17784118652344,51.591602487736
9,POINT (-0.35256361333333 51.58946061),1,532092850.0,-0.35256361333333,51.58946061
10,POINT (-0.01302 51.58248118),1,434376.0,-0.01302,51.58248118
11,POINT (-0.0137559 51.582401),1,245019779230917.0,-0.0137559,51.582401
12,POINT (0.25123888888889 51.555744444444),1,5680659.0,0.25123888888889,51.555744444444
13,POINT (0.23492755587104 51.559270782454),1,158610306.0,0.23492755587104,51.559270782454
14,POINT (0.2212676 51.561213),1,327968930872489.0,0.2212676,51.561213
15,POINT (0.073749591049536 51.557830478898),1,512277468.0,0.073749591049536,51.557830478898
16,POINT (0.081129695838578 51.560204083207),1,227357648.0,0.081129695838578,51.560204083207
17,POINT (-0.1786994934082 51.55618195026),1,562745515.0,-0.1786994934082,51.55618195026
18,POINT (0.06018632 51.5506844175),1,464266153.0,0.06018632,51.5506844175
19,POINT (-0.0505146 51.5470151),1,1690644087886444.0,-0.0505146,51.5470151
20,POINT (-0.07491937026956801 51.550775769519),1,295322147.0,-0.074919370269568,51.550775769519
21,POINT (-0.21484055820265 51.548998809255),1,289495641.0,-0.21484055820265,51.548998809255
22,POINT (0.026412355867936 51.542953342748),1,384335901661152.0,0.026412355867936,51.542953342748
23,POINT (-0.25994 51.5345299),1,2969835.0,-0.25994,51.5345299
24,POINT (-0.076390050793394 51.524542476092),1,219266516.0,-0.076390050793394,51.524542476092
25,POINT (-0.08174262 51.52670199),1,1721465121437840.0,-0.08174262,51.52670199
26,POINT (-0.48409330506037 51.527240231286),1,233229955.0,-0.48409330506037,51.527240231286
