,OA11CD,count,lng,lat,POPDEN,WD11NM_BF
11644,E00168017,3,-0.08158618067133903,51.48142054752702,106.6,Peckham
11645,E00020198,204,-0.07019363372285604,51.47438458572585,102.1,Peckham
11646,E00020119,9,-0.09584107730741287,51.48559676148939,124.2,Newington
11647,E00020199,25,-0.07681371660233428,51.475172436798225,138.4,Peckham
11648,E00020118,1,-0.10252376168661227,51.48547357739593,92.1,Newington
11649,E00168015,1,-0.0810622730986139,51.47560963760737,125.0,Brunswick Park
11650,E00168013,1,-0.08294009371010018,51.478212029017655,193.9,Brunswick Park
11651,E00019759,2,-0.10385753301601207,51.47978068811788,713.6,Camberwell Green
11652,E00020289,19,-0.06221450161116769,51.49796338523717,118.2,Riverside
11653,E00020209,1,-0.0627953093787738,51.47798997802337,181.6,Peckham
11654,E00019897,2,-0.07108200091584958,51.44811365198835,106.6,East Dulwich
11655,E00019854,3,-0.07565741145256542,51.430005094805765,31.8,College
11656,E00019856,3,-0.08255310567859889,51.425758276060755,30.9,College
11657,E00020352,3,-0.07545078944996135,51.48855788573088,78.8,South Bermondsey
11658,E00020353,2,-0.0724315336733496,51.48720503063058,254.3,South Bermondsey
11659,E00020350,11,-0.07014943093376573,51.488062929189546,356.1,South Bermondsey
11660,E00020015,5,-0.08143347998668293,51.49503870750917,144.1,Grange
11661,E00020165,1,-0.05501599482631219,51.46920768534764,136.8,Nunhead
11662,E00020166,4,-0.05801641272314302,51.47028645024742,132.5,Nunhead
11663,E00020014,7,-0.07909530900423081,51.495284220980615,85.9,Grange
11664,E00019969,1,-0.08320524927273959,51.48712039891672,216.2,Faraday
11665,E00019968,1,-0.092665128031317,51.487465021160894,115.8,Faraday
11666,E00020342,767,-0.060751286573544054,51.48864519311143,180.7,South Bermondsey
11667,E00020037,315,-0.07584149417185047,51.49879317772302,124.7,Grange
11668,E00020036,32,-0.08798984550222683,51.501640446845464,265.4,Grange
11669,E00020034,95,-0.08090622428062529,51.50161958659043,185.4,Grange
11670,E00019689,3,-0.08106753337352181,51.470428884519606,163.1,Brunswick Park
11671,E00167496,13,-0.09436390830275557,51.50130436685246,103.5,Cathedrals
11672,E00167497,27,-0.09316164054375664,51.50316796617109,40.1,Cathedrals
11673,E00167490,23,-0.07910577256799556,51.5008011524337,81.5,Grange
11674,E00167491,7,-0.0978193539341747,51.48989252062395,125.0,Newington
11675,E00167492,1,-0.09977608855915569,51.49042927778431,388.5,Newington
11676,E00020304,42,-0.052981620026821816,51.50132177114871,266.9,Rotherhithe
11677,E00020385,16,-0.0832510781445393,51.46678274093061,86.9,South Camberwell
11678,E00020025,28,-0.07063287682311016,51.49340415801926,150.3,Grange
11679,E00020027,44,-0.08087068937524959,51.49352513183509,39.0,Grange
11680,E00020115,1,-0.09934465786908404,51.48617446045143,130.1,Newington
11681,E00020114,1,-0.10668514508484817,51.486069214108824,178.1,Newington
11682,E00020039,1,-0.08627150773022489,51.50003334365652,195.8,Grange
11683,E00167485,48,-0.07397487000446927,51.50363126997222,702.9,Riverside
11684,E00167484,29,-0.07050533146930664,51.498104047480574,87.3,Riverside
